施設名,分類,フリガナ,メール,電話番号,FAX番号,郵便番号,住所１,住所２,最終更新日
いちのせ内科・循環器科,病院・医院,イチノセナイカジュンカンキカ,ichinose_naika@kca.biglobe.ne.jp,0956-85-7770,0956-85-7770,859-3726,東彼杵郡波佐見町稗木場郷326番地,,2026-05-13 12:50:43
カナザワ内科クリニック,病院・医院,カナザワナイカクリニック,me723002@lime.ocn.ne.jp,0956-83-3727,0956-83-2798,859-3615,東彼杵郡川棚町下組郷391-2,,2026-05-13 21:29:23
医療法人　優和会　こうの内科医院,病院・医院,イリョウホウジン　ユウワカイ　コウノナイカイイン,nagomr@cronos.ocn.ne.jp,0956-20-7500,0956-20-7501,859-3702,東彼杵郡波佐見町湯無田郷128-14,,2026-05-25 14:14:56
すが眼科,病院・医院,スガガンカ,sugatri66@gmail.com,0956-20-7575,0956-20-7576,859-3715,東彼杵郡波佐見町宿郷333-5番地,,2026-06-15 15:20:36
にいむら整形外科,病院・医院,ニイムラセイケイゲカ,tetsuyaniimura@forest.ocn.ne.jp,0956-82-6565,0956-82-5867,859-3615,東彼杵郡川棚町下組郷14-7番地,,2026-06-15 14:15:12
はすわ診療所,病院・医院,ハスワシンリョウショ,behin_t@yahoo.co.jp,0956-85-5221,0956-85-5220,859-3726,東彼杵郡波佐見町稗木場郷1272番地,info@touhi-ishikai.jp,2026-06-22 15:52:06
医療法人せせらぎ　ひろ皮ふ科クリニック,病院・医院,イリョウホウジンセセラギ　ヒロヒフカクリニック,guturohi1@goo.jp,0956-82-3001,0956-82-3102,859-3615,東彼杵郡川棚町下組郷385番地4,,2026-06-22 15:51:44
まつお産婦人科,病院・医院,マツオサンフジンカ,gmatsuo@k9.dion.ne.jp,0956-82-2038,--,859-3605,東彼杵郡川棚町百津郷452,,2026-06-15 15:18:02
岩永医院,病院・医院,イワナガイイン,iwashin2929@outlook.jp,0957-47-0014,0957-47-0034,859-3923,東彼杵郡東彼杵町瀬戸郷1179-3,,2026-03-23 13:11:22
医療法人玉川医院　玉川内科・歯科医院,歯科医院,イリョウホウジンタマガワイイン　タマガワナイカ　シカイイン,tamatama19790803@gmail.com,0956-82-4126,0956-82-4120,859-3615,東彼杵郡川棚町下組郷2047-4番地,,2026-05-21 15:48:30
医療法人三島眼科医院,病院・医院,イリョウホウジンミシマガンカイイン,mishimajimu3f@gmail.com,0957-46-0340,0957-46-0348,859-3808,東彼杵郡東彼杵町蔵本郷1716-6番地,,2026-04-14 11:42:45
医療法人社団　清和会　山住医院,病院・医院,イリョウホウジン　セイワカイ　ヤマズミイイン,yamazumi.clinic.1988@gmail.com,0957-46-1162,0957-20-1021,859-3807,東彼杵郡東彼杵町彼杵宿郷395-3,,2026-04-16 10:52:22
