商品名,価格,原価,カテゴリ番号,販売ステータス（1:販売中、0:販売中止）,サイズ,商品説明,タグ,リストへの表示（1:表示、:非表示）,販売時期（コロン区切りで1～12月。1:販売、0:休止),在庫管理（1:在庫管理する、0:在庫管理なし）,最小注文数,最大注文数,定番商品(1:定番商品、0:特別商品）,発送所要日数,販売日数（特別商品の場合は何日後まで販売するか）,単位,SKUコード（商品ごとに別のもの）
お祝いスタンド,16200,,4,1,200cm×150cm,スタンダードなスタンド花です。,お誕生日祝い  開店祝い　移転祝い 周年祝い　楽屋見舞い お礼 ご挨拶 卒業祝い　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,oma-is15750
お祝いスタンド,32400,,4,1,200cm×150cm,スタンダードなスタンド花です。こちらは１対からのご注文になります。,お誕生日祝い  開店祝い 移転祝い 周年祝い　楽屋見舞い お礼 ご挨拶 卒業祝い　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-is15750-2
お祝いスタンド,21600,,4,1,200cm×150cm,スタンダードな２段盛り御祝スタンド花です。,お誕生日祝い　開店祝い 移転祝い 周年祝い 楽屋見舞い お礼 ご挨拶 卒業祝い　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,oma-is21000
お祝いスタンド,43200,,4,1,200cm×150cm,スタンダードな２段盛り御祝スタンド花です。こちらは１対からのご注文になります。,お誕生日祝い 開店祝い 上場祝い 移転祝い 周年祝い　楽屋見舞い お礼 ご挨拶 卒業祝い　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-is21000-2
お祝いスタンド,27000,,4,1,200cm×150cm,スタンダードなスタンド花を２段盛りにしました。,お誕生日祝い　開店祝い 上場祝い 移転祝い 周年祝い　楽屋見舞い お礼 ご挨拶 卒業祝い　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,oma-is26250
お祝いスタンド,32400,,4,1,220cm×150cm,豪華に３段に盛り付けた御祝スタンド花です。,お誕生日祝い　開店祝い 上場祝い 周年祝い　楽屋見舞い お礼 ご挨拶 卒業祝い　賀寿　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,oma-is31500
お祝いスタンド,54000,,4,1,200cm×150cm,スタンダードな２段盛りの御祝スタンド花です。こちらは１対ごとのご注文になります。,お誕生日祝い　開店祝い 上場祝い 移転祝い 周年祝い 楽屋見舞い お礼 ご挨拶 卒業祝い　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-is26250-2
お祝いスタンド,64800,,4,1,200cm×150cm,３段に活けこみを下豪華なお祝いのスタンド花です。こちらは１対ごとのご注文になります。,開店祝い 上場祝い 移転祝い 周年祝い　引っ越し祝い 楽屋見舞い お礼 ご挨拶 卒業祝い　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-is31500-2
お供えスタンド,64800,,4,1,220cm×150cm,３段に活けこみをした豪華なスタンド花です。こちらは、１対ごとのご注文になります。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-os31500-2
お供えスタンド,54000,,4,1,220cm×150cm,２段に活けこみを下御供えスタンド花です。こちらは、１対ごとのご注文になります。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-os26250-2
